Date	Sedol	Sector	Param1	Param2	Name of Stock	Weight
3/5/2007	1	Consumers	1	-1.90E-05	A	0.0001
3/5/2007	2	Healthcare	1	-5.00E-06	B	0.005
3/5/2007	3	Utility	1	1.70E-05	C	0.00112323
3/5/2007	4	IT	0.9	1.70E-05	D	0.011823862
3/5/2007	5	IT	1	1.90E-05	E	0.000893247
3/5/2007	6	IT	1	-1.23E-05	F	0.001803825
3/5/2007	7	Material	1	-1.00E-05	G	0.001289483
3/5/2007	8	Healthcare	1	-2.00E-05	H	0.001838273
3/5/2007	9	Material	1	-1.83E-04	I	0.003273793
3/5/2007	10	Finance	1	1.79E-04	J	0.001012904
3/5/2007	11	Finance	1	7.38E-05	K	0.003109093
3/5/2007	12	Industry	1.5	8.38E-05	L	0.002887699
3/5/2007	13	IT	1	1.93E-04	M	0.000574348
3/5/2007	14	Healthcare	1	8.28E-05	N	0.00623224
3/5/2007	15	Finance	1	8.87E-05	O	0.000724345
3/5/2007	16	Energy	0.9	-2.33E-06	P	0.001232443
3/5/2007	17	Utility	1	-3.43E-06	Q	0.000591232
3/5/2007	18	Finance	1	-2.39E-05	R	0.005234343
3/5/2007	19	Utility	1	-8.83E-07	S	0.00134343
3/5/2007	20	Finance	1	-7.23873E-05	T	0.001232434
